# CRN98 con @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)              d              f            IK1
     138.005        -13.088    0.000544891       0.416409        0.55965       0.718918
     138.505        -13.178    0.000544127       0.413788       0.558652       0.722376
     139.005        -13.270    0.000543363       0.411141       0.557658       0.725953
     139.505        -13.362    0.000542598       0.408469        0.55667       0.729651
     140.005        -13.456    0.000541834       0.405772       0.555688       0.733467
     140.505        -13.550    0.000541069       0.403051        0.55471       0.737401
     141.005        -13.645    0.000540304       0.400306       0.553738       0.741453
     141.505        -13.742    0.000539539       0.397537       0.552772       0.745623
     142.005        -13.839    0.000538774       0.394744       0.551811        0.74991
     142.505        -13.938    0.000538008       0.391928       0.550856       0.754313
     143.005        -14.037    0.000537243       0.389088       0.549906       0.758834
     143.505        -14.137    0.000536476       0.386226       0.548962        0.76347
     144.005        -14.239     0.00053571       0.383341       0.548024       0.768223
     144.505        -14.341    0.000534943       0.380434       0.547092       0.773092
     145.005        -14.445    0.000534176       0.377505       0.546166       0.778077
     145.505        -14.549    0.000533409       0.374555       0.545246       0.783178
     146.005        -14.655    0.000532641       0.371583       0.544332       0.788395
     146.505        -14.761    0.000531872       0.368591       0.543424       0.793728
     147.005        -14.869    0.000531104       0.365578       0.542523       0.799177
     147.505        -14.977    0.000530335       0.362545       0.541628       0.804742
     148.005        -15.087    0.000529565       0.359493       0.540739       0.810423
     148.505        -15.197    0.000528795       0.356421       0.539856       0.816221
     149.005        -15.309    0.000528025       0.353331       0.538981       0.822136
     149.505        -15.422    0.000527254       0.350223       0.538112       0.828167
     150.005        -15.536    0.000526483       0.347096       0.537249       0.834315
     150.505        -15.650    0.000525711       0.343953       0.536394        0.84058
     151.005        -15.766    0.000524938       0.340792       0.535545       0.846963
     151.505        -15.883    0.000524165       0.337615       0.534703       0.853464
     152.005        -16.001    0.000523392       0.334423       0.533869       0.860082
     152.505        -16.120    0.000522618       0.331215       0.533041       0.866818
     153.005        -16.240    0.000521843       0.327992       0.532221       0.873673
     153.505        -16.362    0.000521068       0.324755       0.531408       0.880647
     154.005        -16.484    0.000520293       0.321505       0.530603       0.887739
     154.505        -16.607    0.000519516       0.318241       0.529805       0.894951
     155.005        -16.732     0.00051874       0.314966       0.529015       0.902282
     155.505        -16.857    0.000517962       0.311678       0.528232       0.909733
     156.005        -16.984    0.000517184        0.30838       0.527458       0.917304
     156.505        -17.111    0.000516405        0.30507       0.526691       0.924994
     157.005        -17.240    0.000515626       0.301752       0.525933       0.932805
     157.505        -17.370    0.000514846       0.298424       0.525182       0.940737
     158.005        -17.501    0.000514066       0.295088        0.52444       0.948789
     158.505        -17.633    0.000513284       0.291744       0.523706       0.956961
     159.005        -17.766    0.000512503       0.288393       0.522981       0.965254
     159.505        -17.900     0.00051172       0.285036       0.522264       0.973668
     160.005        -18.035    0.000510937       0.281673       0.521556       0.982203
     160.505        -18.172    0.000510153       0.278306       0.520856       0.990858
     161.005        -18.309    0.000509369       0.274935       0.520166       0.999633
     161.505        -18.448    0.000508583       0.271561       0.519485        1.00853
     162.005        -18.587    0.000507798       0.268185       0.518812        1.01755
     162.505        -18.728    0.000507011       0.264808       0.518149        1.02668
     163.005        -18.870    0.000506224        0.26143       0.517496        1.03594
     163.505        -19.013    0.000505436       0.258052       0.516852        1.04531
     164.005        -19.156    0.000504648       0.254675       0.516217         1.0548
     164.505        -19.302    0.000503859         0.2513       0.515592        1.06441
     165.005        -19.448    0.000503069       0.247928       0.514977        1.07414
     165.505        -19.595    0.000502278        0.24456       0.514372        1.08399
     166.005        -19.743    0.000501487       0.241197       0.513778        1.09395
     166.505        -19.893    0.000500695       0.237839       0.513193        1.10402
     167.005        -20.043    0.000499903       0.234487       0.512618        1.11421
     167.505        -20.195     0.00049911       0.231143       0.512054        1.12451
     168.005        -20.347    0.000498316       0.227807       0.511501        1.13492
     168.505        -20.501    0.000497522        0.22448       0.510958        1.14544
     169.005        -20.656    0.000496727       0.221163       0.510426        1.15606
     169.505        -20.811    0.000495931       0.217857       0.509905         1.1668
     170.005        -20.968    0.000495135       0.214563       0.509395        1.17763
     170.505        -21.126    0.000494338       0.211282       0.508896        1.18857
     171.005        -21.285    0.000493541       0.208014       0.508408        1.19961
     171.505        -21.445    0.000492742       0.204761       0.507932        1.21075
     172.005        -21.606    0.000491944       0.201524       0.507467        1.22198
     172.505        -21.768    0.000491145       0.198302       0.507014         1.2333
     173.005        -21.931    0.000490345       0.195098       0.506572        1.24472
     173.505        -22.095    0.000489545       0.191912       0.506143        1.25621
     174.005        -22.260    0.000488744       0.188745       0.505725         1.2678
     174.505        -22.426    0.000487942       0.185598       0.505319        1.27946
     175.005        -22.593     0.00048714       0.182471       0.504925        1.29119
     175.505        -22.761    0.000486338       0.179366       0.504544          1.303
     176.005        -22.930    0.000485535       0.176282       0.504174        1.31488
     176.505        -23.100    0.000484732       0.173222       0.503818        1.32681
     177.005        -23.270    0.000483928       0.170186       0.503473        1.33881
     177.505        -23.442    0.000483124       0.167174       0.503141        1.35086
     178.005        -23.615    0.000482319       0.164187       0.502822        1.36296
     178.505        -23.789    0.000481514       0.161226       0.502516         1.3751
     179.005        -23.963    0.000480709       0.158292       0.502222        1.38728
     179.505        -24.139    0.000479903       0.155385       0.501941        1.39949
     180.005        -24.315    0.000479097       0.152505       0.501673        1.41172
     180.505        -24.492     0.00047829       0.149655       0.501418        1.42398
     181.005        -24.670    0.000477484       0.146833       0.501177        1.43625
     181.505        -24.849    0.000476676       0.144041       0.500948        1.44852
     182.005        -25.029    0.000475869       0.141279       0.500732        1.46079
     182.505        -25.210    0.000475062       0.138548        0.50053        1.47305
     183.005        -25.391    0.000474254       0.135848        0.50034        1.48529
     183.505        -25.573    0.000473446        0.13318       0.500164        1.49751
     184.005        -25.756    0.000472637       0.130544       0.500002        1.50969
     184.505        -25.940    0.000471829        0.12794       0.499852        1.52184
     185.005        -26.125     0.00047102       0.125369       0.499716        1.53393
     185.505        -26.310    0.000470212       0.122831       0.499593        1.54596
     186.005        -26.496    0.000469403       0.120327       0.499483        1.55791
     186.505        -26.683    0.000468594       0.117856       0.499387        1.56979
     187.005        -26.871    0.000467785        0.11542       0.499304        1.58158
     187.505        -27.059    0.000466976       0.113017       0.499234        1.59327
     188.005        -27.248    0.000466167       0.110649       0.499178        1.60485
     188.505        -27.437    0.000465358       0.108316       0.499134        1.61631
     189.005        -27.628    0.000464549       0.106017       0.499104        1.62764
     189.505        -27.819     0.00046374       0.103753       0.499087        1.63882
     190.005        -28.010    0.000462932       0.101525       0.499083        1.64985
     190.505        -28.202    0.000462123      0.0993306       0.499091        1.66071
     191.005        -28.395    0.000461314      0.0971717       0.499113        1.67139
     191.505        -28.589    0.000460506      0.0950478       0.499148        1.68188
     192.005        -28.783    0.000459698      0.0929588       0.499195        1.69216
     192.505        -28.977     0.00045889      0.0909048       0.499255        1.70224
     193.005        -29.172    0.000458082      0.0888856       0.499327        1.71208
     193.505        -29.368    0.000457274      0.0869012       0.499412        1.72168
     194.005        -29.564    0.000456467      0.0849515        0.49951        1.73103
     194.505        -29.761     0.00045566      0.0830363       0.499619        1.74011
     195.005        -29.958    0.000454853      0.0811554       0.499741        1.74892
     195.505        -30.155    0.000454046      0.0793088       0.499875        1.75743
     196.005        -30.354     0.00045324       0.077496       0.500021        1.76564
     196.505        -30.552    0.000452435      0.0757171       0.500178        1.77353
     197.005        -30.751    0.000451629      0.0739717       0.500347        1.78109
     197.505        -30.950    0.000450824      0.0722595       0.500527         1.7883
     198.005        -31.150     0.00045002      0.0705803       0.500719        1.79516
     198.505        -31.350    0.000449216      0.0689339       0.500921        1.80165
     199.005        -31.551    0.000448412      0.0673198       0.501135        1.80776
     199.505        -31.752    0.000447609      0.0657378        0.50136        1.81347
     200.005        -31.953    0.000446807      0.0641877       0.501595        1.81878
     200.505        -32.155    0.000446005      0.0626689        0.50184        1.82367
     201.005        -32.357    0.000445203      0.0611812       0.502096        1.82813
     201.505        -32.559    0.000444403      0.0597243       0.502362        1.83215
     202.005        -32.762    0.000443602      0.0582977       0.502638        1.83572
     202.505        -32.965    0.000442803       0.056901       0.502924        1.83883
     203.005        -33.168    0.000442004       0.055534       0.503219        1.84146
     203.505        -33.372    0.000441206      0.0541961       0.503523        1.84362
     204.005        -33.575    0.000440408       0.052887       0.503837        1.84528
     204.505        -33.779    0.000439611      0.0516063       0.504159        1.84644
     205.005        -33.983    0.000438815      0.0503536        0.50449        1.84709
